2023-08-31T15:19:27.443_351+08:00 [8682] [WARN] peer (2) response error: failed to connect to peer 2, localhost:10002, error 111, Connection refused	[raft_server.cxx:789, handle_peer_resp()]
2023-08-31T15:19:27.750_382+08:00 [8680] [WARN] Election timeout, initiate leader election	[handle_timeout.cxx:286, handle_election_timeout()]
2023-08-31T15:19:27.750_394+08:00 [8680] [INFO] [PRIORITY] decay, target 1 -> 1, mine 1	[handle_priority.cxx:214, decay_target_priority()]
2023-08-31T15:19:27.750_406+08:00 [8680] [INFO] [ELECTION TIMEOUT] current role: candidate, log last term 1, state term 1, target p 1, my p 1, hb dead, pre-vote NOT done	[handle_timeout.cxx:304, handle_election_timeout()]
2023-08-31T15:19:27.750_410+08:00 [8680] [INFO] reset RPC client for peer 2	[handle_vote.cxx:79, request_prevote()]
2023-08-31T15:19:27.750_457+08:00 [8680] [WARN] total 1 nodes (including this node) responded for pre-vote (term 1, live 0, dead 1), at least 2 nodes should respond. failure count 6	[handle_vote.cxx:98, request_prevote()]
2023-08-31T15:19:27.750_460+08:00 [8680] [INFO] [PRE-VOTE INIT] my id 3, my role candidate, term 1, log idx 3, log term 1, priority (target 1 / mine 1)	[handle_vote.cxx:139, request_prevote()]
2023-08-31T15:19:27.750_641+08:00 [8681] [WARN] peer (2) response error: failed to connect to peer 2, localhost:10002, error 111, Connection refused	[raft_server.cxx:789, handle_peer_resp()]
2023-08-31T15:19:28.017_639+08:00 [8680] [WARN] Election timeout, initiate leader election	[handle_timeout.cxx:286, handle_election_timeout()]
2023-08-31T15:19:28.017_651+08:00 [8680] [INFO] [PRIORITY] decay, target 1 -> 1, mine 1	[handle_priority.cxx:214, decay_target_priority()]
2023-08-31T15:19:28.017_663+08:00 [8680] [INFO] [ELECTION TIMEOUT] current role: candidate, log last term 1, state term 1, target p 1, my p 1, hb dead, pre-vote NOT done	[handle_timeout.cxx:304, handle_election_timeout()]
2023-08-31T15:19:28.017_667+08:00 [8680] [INFO] reset RPC client for peer 2	[handle_vote.cxx:79, request_prevote()]
